title,description,category,priority,days_until_due,due_date
Implement analytics export for admin dashboard,"New requirement from sales: payments service needs payment capability. No rush, whenever you get a chance.",Feature Development,LOW,51,2026-10-03
Research mobile options for React frontend,Team needs a recommendation on payment approach for billing module.,Research,MEDIUM,11,2026-08-24
Add regression tests for notification service,"The upload flow has no automated tests, causing repeat regressions. No rush, whenever you get a chance.",Testing,LOW,24,2026-09-06
Investigate user profile performance issue in payments service,"Team needs a recommendation on SSO approach for mobile app. Customer-facing outage, top priority.",Research,URGENT,-2,2026-08-11
Configure autoscaling for admin dashboard,search service deploys are manual and error-prone; automate with CI/CD.,DevOps/Infrastructure,MEDIUM,9,2026-08-22
Add support for user profile in auth service,"Design has finalized mockups for the upload feature in notification service. No rush, whenever you get a chance.",Feature Development,LOW,56,2026-10-08
Increase test coverage on notification service,Coverage on admin dashboard is below target; add tests before release.,Testing,MEDIUM,8,2026-08-21
Document reporting setup process,"API consumers are confused about reporting engine usage, needs docs. No rush, whenever you get a chance.",Documentation,LOW,52,2026-10-04
Write architecture doc for notification service,"New engineers need clearer docs on how user service works. Needed before end of sprint, please prioritize.",Documentation,HIGH,5,2026-08-18
Increase test coverage on backend API,"Coverage on backend API is below target; add tests before release. Someday/maybe, not time sensitive.",Testing,LOW,31,2026-09-13
Add session filtering to checkout flow dashboard,Design has finalized mockups for the payment feature in auth service.,Feature Development,MEDIUM,13,2026-08-26
Prepare slides for payments service review,Need to align stakeholders on billing module before next sprint.,Meeting/Admin,MEDIUM,14,2026-08-27
Fix exposed session endpoint in checkout flow,"Pen test found an exposed reporting in the notification service API. Nice to have, low priority.",Security,LOW,46,2026-09-28
Schedule sprint planning for backend API,"Need to align stakeholders on auth service before next sprint. Needed before end of sprint, please prioritize.",Meeting/Admin,HIGH,4,2026-08-17
Patch authentication vulnerability in user service,"Compliance requires rotating billing used by billing module this month. Needed before end of sprint, please prioritize.",Security,HIGH,1,2026-08-14
Implement dark mode for billing module,Design has finalized mockups for the SSO feature in auth service. Important for the client demo next week.,Feature Development,HIGH,4,2026-08-17
Create onboarding guide for reporting engine,"API consumers are confused about billing module usage, needs docs. No rush, whenever you get a chance.",Documentation,LOW,54,2026-10-06
Create wireframes for search flow,Need updated mockups for billing module before dev starts. Can be picked up next quarter.,Design,LOW,45,2026-09-27
Resolve login failure for session users,"Regression introduced by last sprint's changes to backend API; needs a hotfix. Needed before end of sprint, please prioritize.",Bug Fix,HIGH,1,2026-08-14
Implement dark mode for React frontend,New requirement from sales: auth service needs search capability.,Feature Development,MEDIUM,11,2026-08-24
Document chat setup process,"The payment process isn't documented anywhere; write a guide. Nice to have, low priority.",Documentation,LOW,59,2026-10-11
Design icon set for auth service,"Current billing UI feels dated, redesign requested by stakeholders.",Design,MEDIUM,6,2026-08-19
Write unit tests for backend API module,QA wants automated E2E coverage for chat before launch.,Testing,MEDIUM,3,2026-08-16
Implement dark mode for backend API,"New requirement from sales: backend API needs checkout capability. No rush, whenever you get a chance.",Feature Development,LOW,46,2026-09-28
Increase test coverage on search service,"Coverage on payments service is below target; add tests before release. Someday/maybe, not time sensitive.",Testing,LOW,29,2026-09-11
Set up retro for React frontend team,Need to align stakeholders on user service before next sprint.,Meeting/Admin,MEDIUM,9,2026-08-22
Schedule sprint planning for auth service,Book time with backend API team to discuss checkout plan.,Meeting/Admin,MEDIUM,8,2026-08-21
Add payment filtering to notification service dashboard,Customer requested search functionality for user service. Important for the client demo next week.,Feature Development,HIGH,2,2026-08-15
Create SSO integration with billing module,"Product wants mobile support added to the auth service module this quarter. No rush, whenever you get a chance.",Feature Development,LOW,19,2026-09-01
Add integration tests for authentication flow,"The payment flow has no automated tests, causing repeat regressions. Nice to have, low priority.",Testing,LOW,38,2026-09-20
Resolve data corruption in search service,"Regression introduced by last sprint's changes to reporting engine; needs a hotfix. Someday/maybe, not time sensitive.",Bug Fix,LOW,23,2026-09-05
